
TIME,MON,TUE,WED,THU,FRI,SAT

0800  0830 AM,MIS,DBS,CSF,FMRA,DBS,DSL

0830  0900 AM,MIS,DBS,CSF,FMRA,DBS,DSL

0900 . 0930 AM,UHV,MIS,CSF,FMRA,DBS.,DSL

0930  1000 AM,UHV,MIS.,CSF,FMRA,DBS.,DSL

1000  1030 AM,,,,,,

1030  1100 AM,CSF,UHV,DT,CES,MIS,DBS

1100  1130 AM,CSF,UHV,DT,CES,MIS,DBS

1130 . 1200 AM,DBS,DSL,DT,CES,UHV,

1200  1230 PM,DBS,DSL,DT,CES,UHV,

1230  0100 PM,CSF,OE,OE,IPD,OE,

0100  0130 PM,CSF,OE,OE,IPD,OE,

0130  0200 PM,CSF,,,IPD,,F

0200  0230 PM,CSF,,,IPD,,

0230  0300 PM,,,,IPD,,

0300  0330 PM,,,,IPD,,

0330  0400 PM,,,,IPD,F,

0400  0430 PM,,FMRA,,IPD,,

0430  0500 PM,F,FMRA,,IPD,,

0500  0530 PM,,,F,IPD,,
a
